local_time,tick_ts,tick_ms,tick_dt_s,task_id,real_command_state,snap_node,snap_dist,prev_snap_node,last_live_edge,x,y,prev_x,prev_y,movement_dx,movement_dy,movement_step_m,movement_heading_deg,plc_heading_deg,heading_movement_diff_deg,reverse_motion_xy,signed_speed_est_xy,op_live_min_m,op_route_min_m,op_motion_min_m,op_risk_edge,signed_speed,abs_speed,reverse_motion_flag,heading,going_to_id,target_reached,battery,power,current_mA,cell_voltage_mV,momentary_energy_Ws,cumulative_energy_Wh,position_confidence,nav_state,current_segment,front_scanner_safety_clear,rear_scanner_safety_clear,front_scanner_warning_clear,rear_scanner_warning_clear,scanner_violation_flag,actual_speed_l,actual_speed_r,wheel_diff_live,encoder_freq_l,encoder_freq_r,brake_block,brake_release,emergency_hold,emergency_reason,block_guard_active,block_guard_reason,predicted_conflict_count,tms_runtime_conflict_count,tms_runtime_action,proactive_replan,reserved_blocks,manual_blocks,effective_blocks,routes,active_real_path,active_command_points,active_cmd_index,last_sent_node,command_strategy,series_active,series_status,series_destinations,series_index,series_current_goal,series_loop,series_completed_count,series_run_id,series_leg_start_node,series_leg_goal_node,series_leg_route,series_leg_pred_time_s,series_leg_pred_energy_j,series_leg_distance_m,cost_source,trajectory_source,research_log_rate_hz,control_poll_s,planner,astar_w,alpha_time,alpha_energy,op_radius_m,sim_radius_m,operator_inside_radius,brake_event_label,conflict_label
2026-05-19 16:51:14,1779202274.6442711,1779202274644,1.682988166809082,,OPERATOR_SIM_CLEAR_RELEASED_AUTO_RESUMED,18,0.1617398729930775,18,"[19, 18]",-3.781522512435913,17.23342514038086,-3.781522512435913,17.260725021362305,0.0,-0.027299880981445312,0.027299880981445312,270.0,0.1133495569229126,90.11334955692291,False,0.0,2.632930230396818,2.620936557565091,2.632930230396818,18->4,0.0,0.0,False,0.1133495569229126,4,0,78,298,,48340,2990,227967.34375,96,3,183,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,clear,,[],[],[],"{""REAL"": [5, 29, 26, 25, 23, 20, 22, 19, 17, 18, 4]}","[5, 29, 26, 25, 23, 20, 22, 19, 17, 18, 4]",[],0,4,final_goal_guarded,True,MOVING_TO_4,"[6, 5, 4, 3, 2, 1]",2,4,True,14,SER_20260519_163616,5,4,"[5, 29, 26, 25, 23, 20, 22, 19, 17, 18, 4]",98.3871283531189,28126.316162109375,20.702956748736,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.5,0.4,False,False,False
2026-05-19 16:51:16,1779202276.293725,1779202276293,1.64945387840271,,OPERATOR_SIM_CLEAR_RELEASED_AUTO_RESUMED,18,0.32996749961385213,18,"[19, 18]",-3.954721212387085,17.231393814086914,-3.781522512435913,17.23342514038086,-0.17319869995117188,-0.0020313262939453125,0.1732106115435441,180.67195127616776,359.9759990759194,179.30404779975163,True,-0.27610018849372864,2.648652995467124,2.5723415951383295,2.648652995467124,18->4,-0.27610018849372864,0.27610018849372864,True,-0.024000924080610275,4,0,79,290,,48406,2908,228143.015625,97,3,187,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,clear,,[],[],[],"{""REAL"": [5, 29, 26, 25, 23, 20, 22, 19, 17, 18, 4]}","[5, 29, 26, 25, 23, 20, 22, 19, 17, 18, 4]",[],0,4,final_goal_guarded,True,MOVING_TO_4,"[6, 5, 4, 3, 2, 1]",2,4,True,14,SER_20260519_163616,5,4,"[5, 29, 26, 25, 23, 20, 22, 19, 17, 18, 4]",98.3871283531189,28126.316162109375,20.702956748736,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.5,0.4,False,False,False
2026-05-19 16:51:17,1779202277.927277,1779202277927,1.633552074432373,,OPERATOR_SIM_CLEAR_RELEASED_AUTO_RESUMED,4,0.5642902339725017,18,"[18, 4]",-4.536060333251953,17.2401123046875,-3.954721212387085,17.231393814086914,-0.5813391208648682,0.008718490600585938,0.5814044938992906,179.1407850409082,359.997241524281,179.14354351662723,True,-0.2935425639152527,2.6352335899872497,inf,2.6352335899872497,,-0.2935425639152527,0.2935425639152527,True,-0.0027584757190197706,4,0,78,297,,48340,2981,228274.40625,100,3,187,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,no_real_goal,,[],[],[],"{""REAL"": [5, 29, 26, 25, 23, 20, 22, 19, 17, 18, 4]}","[5, 29, 26, 25, 23, 20, 22, 19, 17, 18, 4]",[],0,4,final_goal_guarded,True,MOVING_TO_4,"[6, 5, 4, 3, 2, 1]",2,4,True,14,SER_20260519_163616,5,4,"[5, 29, 26, 25, 23, 20, 22, 19, 17, 18, 4]",98.3871283531189,28126.316162109375,20.702956748736,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.5,0.4,False,False,False
2026-05-19 16:51:19,1779202279.564207,1779202279564,1.636929988861084,,OPERATOR_SIM_CLEAR_RELEASED_AUTO_RESUMED,4,0.1610238418537187,4,"[18, 4]",-4.939577102661133,17.24610137939453,-4.536060333251953,17.2401123046875,-0.4035167694091797,0.00598907470703125,0.40356121247001364,179.14966728585455,0.010676601901650429,179.1389906839529,True,-0.28035441040992737,2.557636404866381,2.4372379922198584,2.557636404866381,4->18,-0.28035441040992737,0.28035441040992737,True,0.010676601901650429,4,0,79,266,,48480,2749,228393.921875,100,3,187,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,clear,,[],[],[],"{""REAL"": [4, 18, 17, 10, 8, 3]}","[4, 18, 17, 10, 8, 3]",[],0,4,final_goal_guarded,True,SEND_3,"[6, 5, 4, 3, 2, 1]",3,3,True,15,SER_20260519_163616,4,3,"[4, 18, 17, 10, 8, 3]",30.35779309272766,8626.047180175781,4.0641154685005,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.5,0.4,False,False,False
2026-05-19 16:51:21,1779202281.181273,1779202281181,1.6170659065246582,,OPERATOR_SIM_CLEAR_RELEASED_AUTO_RESUMED,4,0.013398920305664721,4,"[18, 4]",-5.098060131072998,17.246742248535156,-4.939577102661133,17.24610137939453,-0.15848302841186523,0.000640869140625,0.15848432417072514,179.76831022726356,0.01330648735165596,179.7550037399119,True,-0.09869837015867233,2.654728707548417,2.436992341188316,2.654728707548417,4->18,-0.09869837015867233,0.09869837015867233,True,0.01330648735165596,4,0,80,236,,48621,2352,228505.25,100,2,187,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,clear,,[],[],[],"{""REAL"": [4, 18, 17, 10, 8, 3]}","[4, 18, 17, 10, 8, 3]",[],0,4,final_goal_guarded,True,SEND_3,"[6, 5, 4, 3, 2, 1]",3,3,True,15,SER_20260519_163616,4,3,"[4, 18, 17, 10, 8, 3]",30.35779309272766,8626.047180175781,4.0641154685005,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.5,0.4,False,False,False
2026-05-19 16:51:22,1779202282.803214,1779202282803,1.621941089630127,,SERIES_DEST_SENT,4,0.015834818124643324,4,"[18, 4]",-5.1059722900390625,17.24533462524414,-5.098060131072998,17.246742248535156,-0.007912158966064453,-0.001407623291015625,0.008036396134691455,179.76831022726356,0.013538537546992302,179.75477168971656,False,0.0,2.9797997275160926,2.449295139191826,2.9797997275160926,4->18,0.0,0.0,False,0.013538537546992302,3,0,79,273,,48340,2994,228622.53125,99,3,184,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,clear,,[],[],[],"{""REAL"": [4, 18, 17, 10, 8, 3]}","[4, 18, 17, 10, 8, 3]",[],0,3,final_goal_guarded,True,MOVING_TO_3,"[6, 5, 4, 3, 2, 1]",3,3,True,15,SER_20260519_163616,4,3,"[4, 18, 17, 10, 8, 3]",30.35779309272766,8626.047180175781,4.0641154685005,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.5,0.4,False,False,False
2026-05-19 16:51:24,1779202284.521023,1779202284521,1.7178089618682861,,SERIES_DEST_SENT,4,0.25227637874211406,4,"[18, 4]",-4.848043918609619,17.247291564941406,-5.1059722900390625,17.24533462524414,0.25792837142944336,0.001956939697265625,0.25793579511425635,0.4347029890390104,0.0328621082007885,0.4018408808382219,False,0.29822221398353577,3.219957977754237,2.5983259692342955,3.219957977754237,4->18,0.29822221398353577,0.29822221398353577,False,0.0328621082007885,3,0,79,290,,48340,2988,228752.71875,98,3,184,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,clear,,[],[],[],"{""REAL"": [4, 18, 17, 10, 8, 3]}","[4, 18, 17, 10, 8, 3]",[],0,3,final_goal_guarded,True,MOVING_TO_3,"[6, 5, 4, 3, 2, 1]",3,3,True,15,SER_20260519_163616,4,3,"[4, 18, 17, 10, 8, 3]",30.35779309272766,8626.047180175781,4.0641154685005,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.5,0.4,False,False,False
2026-05-19 16:51:26,1779202286.193384,1779202286193,1.672360897064209,,SERIES_DEST_SENT,4,0.6412513159872163,4,"[18, 4]",-4.458770275115967,17.254737854003906,-4.848043918609619,17.247291564941406,0.38927364349365234,0.0074462890625,0.3893448558021866,1.0958587050800475,0.03564175218343735,1.06021695289661,False,0.29737135767936707,2.957926170629564,2.587325270337029,2.957926170629564,4->18,0.29737135767936707,0.29737135767936707,False,0.03564175218343735,3,0,78,291,,48340,2910,228884.28125,98,3,180,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,clear,,[],[],[],"{""REAL"": [4, 18, 17, 10, 8, 3]}","[4, 18, 17, 10, 8, 3]",[],0,3,final_goal_guarded,True,MOVING_TO_3,"[6, 5, 4, 3, 2, 1]",3,3,True,15,SER_20260519_163616,4,3,"[4, 18, 17, 10, 8, 3]",30.35779309272766,8626.047180175781,4.0641154685005,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.5,0.4,False,False,False
2026-05-19 16:51:27,1779202287.976637,1779202287976,1.7832529544830322,,SERIES_DEST_SENT,18,0.3606892323303622,4,"[4, 18]",-3.990185022354126,17.27093505859375,-4.458770275115967,17.254737854003906,0.4685852527618408,0.01619720458984375,0.4688651069789727,1.9797083063210152,0.03409972041845322,1.945608585902562,False,0.29737135767936707,2.4908835365587203,2.4448473945658558,2.4908835365587203,18->17,0.29737135767936707,0.29737135767936707,False,0.03409972041845322,3,0,78,293,,48340,2921,229014.765625,97,3,166,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,clear,,[],[],[],"{""REAL"": [4, 18, 17, 10, 8, 3]}","[4, 18, 17, 10, 8, 3]",[],0,3,final_goal_guarded,True,MOVING_TO_3,"[6, 5, 4, 3, 2, 1]",3,3,True,15,SER_20260519_163616,4,3,"[4, 18, 17, 10, 8, 3]",30.35779309272766,8626.047180175781,4.0641154685005,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.5,0.4,False,False,False
2026-05-19 16:51:29,1779202289.745905,1779202289745,1.7692680358886719,,SERIES_DEST_SENT,18,0.12623209078175718,18,"[4, 18]",-3.5068793296813965,17.317853927612305,-3.990185022354126,17.27093505859375,0.4833056926727295,0.04691886901855469,0.48557777218469045,5.54484592081775,0.4715476334095001,5.0732982874082495,False,0.1391136646270752,2.5405691659445733,2.4882093662511338,2.5405691659445733,18->17,0.1391136646270752,0.1391136646270752,False,0.4715476334095001,3,0,78,294,,48410,2836,229184.609375,95,3,170,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,clear,,[],[],[],"{""REAL"": [4, 18, 17, 10, 8, 3]}","[4, 18, 17, 10, 8, 3]",[],0,3,final_goal_guarded,True,MOVING_TO_3,"[6, 5, 4, 3, 2, 1]",3,3,True,15,SER_20260519_163616,4,3,"[4, 18, 17, 10, 8, 3]",30.35779309272766,8626.047180175781,4.0641154685005,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.5,0.4,False,False,False
2026-05-19 16:51:31,1779202291.407155,1779202291407,1.661250114440918,,SERIES_DEST_SENT,17,0.10341021959420481,18,"[18, 17]",-3.433358907699585,17.46211814880371,-3.5068793296813965,17.317853927612305,0.07352042198181152,0.14426422119140625,0.16191793589453463,62.99554502166745,1.427521824836731,61.56802319683072,False,0.1488983929157257,2.654746052152448,2.756966852539708,2.654746052152448,17->10,0.1488983929157257,0.1488983929157257,False,1.427521824836731,3,0,78,304,,48340,2991,229314.328125,96,3,154,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,clear,,[],[],[],"{""REAL"": [4, 18, 17, 10, 8, 3]}","[4, 18, 17, 10, 8, 3]",[],0,3,final_goal_guarded,True,MOVING_TO_3,"[6, 5, 4, 3, 2, 1]",3,3,True,15,SER_20260519_163616,4,3,"[4, 18, 17, 10, 8, 3]",30.35779309272766,8626.047180175781,4.0641154685005,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.5,0.4,False,False,False
2026-05-19 16:51:33,1779202293.185524,1779202293185,1.7783689498901367,,SERIES_DEST_SENT,10,0.040846313761294425,17,"[17, 10]",-3.450690984725952,17.823558807373047,-3.433358907699585,17.46211814880371,-0.017332077026367188,0.36144065856933594,0.36185598041359385,92.74538772283131,1.604651927947998,91.14073579488331,False,0.22632557153701782,2.969364420969734,2.963034996389817,2.969364420969734,10->8,0.22632557153701782,0.22632557153701782,False,1.604651927947998,3,0,78,294,,48340,2935,229443.734375,85,3,64,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,clear,,[],[],[],"{""REAL"": [4, 18, 17, 10, 8, 3]}","[4, 18, 17, 10, 8, 3]",[],0,3,final_goal_guarded,True,MOVING_TO_3,"[6, 5, 4, 3, 2, 1]",3,3,True,15,SER_20260519_163616,4,3,"[4, 18, 17, 10, 8, 3]",30.35779309272766,8626.047180175781,4.0641154685005,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.5,0.4,False,False,False
2026-05-19 16:51:35,1779202295.0143738,1779202295014,1.8288497924804688,,SERIES_DEST_SENT,8,0.15025853199087827,10,"[10, 8]",-3.5144083499908447,17.975250244140625,-3.450690984725952,17.823558807373047,-0.06371736526489258,0.15169143676757812,0.1645302240468659,112.78464096132927,2.5023529529571533,110.28228800837212,True,-0.08848819136619568,3.253240570470827,3.358241734959424,3.253240570470827,8->3,0.08848819136619568,0.08848819136619568,False,2.5023529529571533,3,0,79,284,,48410,2847,229617.015625,72,3,134,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,clear,,[],[],[],"{""REAL"": [4, 18, 17, 10, 8, 3]}","[4, 18, 17, 10, 8, 3]",[],0,3,final_goal_guarded,True,MOVING_TO_3,"[6, 5, 4, 3, 2, 1]",3,3,True,15,SER_20260519_163616,4,3,"[4, 18, 17, 10, 8, 3]",30.35779309272766,8626.047180175781,4.0641154685005,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.5,0.4,False,False,False
2026-05-19 16:51:36,1779202296.824425,1779202296824,1.8100512027740479,,SERIES_DEST_SENT,8,0.2134133901491791,8,"[10, 8]",-3.8485217094421387,17.96167755126953,-3.5144083499908447,17.975250244140625,-0.33411335945129395,-0.01357269287109375,0.33438892768093054,182.32624840579842,356.8789131641388,174.55266475834037,True,-0.24546965956687927,3.235340348976383,3.2585905643774966,3.235340348976383,8->3,0.24546965956687927,0.24546965956687927,False,-3.121086835861206,3,0,78,294,,48340,2997,229749.859375,92,3,134,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,clear,,[],[],[],"{""REAL"": [4, 18, 17, 10, 8, 3]}","[4, 18, 17, 10, 8, 3]",[],0,3,final_goal_guarded,True,MOVING_TO_3,"[6, 5, 4, 3, 2, 1]",3,3,True,15,SER_20260519_163616,4,3,"[4, 18, 17, 10, 8, 3]",30.35779309272766,8626.047180175781,4.0641154685005,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.5,0.4,False,False,False
2026-05-19 16:51:38,1779202298.487905,1779202298487,1.6634800434112549,,SERIES_DEST_SENT,8,0.6487905314379228,8,"[10, 8]",-4.295677185058594,17.976516723632812,-3.8485217094421387,17.96167755126953,-0.4471554756164551,0.01483917236328125,0.44740163210498607,178.09929636052527,3.1071691513061523,174.99212720921912,True,-0.2952442467212677,3.195443917401114,3.186103665330405,3.195443917401114,8->3,0.2952442467212677,0.2952442467212677,False,3.1071691513061523,3,0,78,288,,48353,2882,229879.5,94,3,138,,,,,False,,,,,,False,True,False,clear,False,clear,0,0,clear,,[],[],[],"{""REAL"": [4, 18, 17, 10, 8, 3]}","[4, 18, 17, 10, 8, 3]",[],0,3,final_goal_guarded,True,MOVING_TO_3,"[6, 5, 4, 3, 2, 1]",3,3,True,15,SER_20260519_163616,4,3,"[4, 18, 17, 10, 8, 3]",30.35779309272766,8626.047180175781,4.0641154685005,runtime_gnn_pt:edge_cost_model.pt,temporal_model_ACTIVE_plus_geom:temporal_physics_delta_ts.pt,1.0,0.05,weighted_astar,1.2,0.7,0.30000000000000004,0.5,0.4,False,False,False
