local_time,command,value,ok,block_readback,release_readback,label
2026-05-19 16:51:22,SEND_DEST,3,True,True,True,3,0,0.22419843077659607,V99_series_idx3,0-1-0,uint32,uint32
2026-05-19 16:51:41,BRAKE_OFF,,True,False,True,
2026-05-19 16:51:44,SEND_DEST,2,True,True,True,2,0,-0.28971371054649353,V99_series_idx4,0-1-0,uint32,uint32
2026-05-19 16:51:47,BRAKE_OFF,,True,False,True,
2026-05-19 16:51:50,SEND_DEST,2,True,True,True,2,0,-0.2986476421356201,V99_series_auto_resend1_idx4,0-1-0,uint32,uint32
2026-05-19 16:53:24,BRAKE_OFF,,True,False,True,
2026-05-19 16:53:27,SEND_DEST,1,True,True,True,1,0,-0.09912378340959549,V99_series_idx5,0-1-0,uint32,uint32
2026-05-19 16:53:30,BRAKE_OFF,,True,False,True,
2026-05-19 16:53:33,SEND_DEST,1,True,True,True,1,0,0.29652050137519836,V99_series_auto_resend1_idx5,0-1-0,uint32,uint32
2026-05-19 16:54:03,BRAKE_OFF,,True,False,True,
2026-05-19 16:54:06,SEND_DEST,6,True,True,True,6,0,0.09912378340959549,V99_series_idx0,0-1-0,uint32,uint32
2026-05-19 16:54:11,BRAKE_OFF,,True,False,True,
2026-05-19 16:54:14,SEND_DEST,6,True,True,True,6,0,-0.2977967858314514,V99_series_auto_resend1_idx0,0-1-0,uint32,uint32
2026-05-19 16:54:17,BRAKE_OFF,,True,False,True,
2026-05-19 16:54:20,SEND_DEST,6,True,True,True,6,0,-0.2977967858314514,V99_series_auto_resend2_idx0,0-1-0,uint32,uint32
2026-05-19 16:55:06,BRAKE_OFF,,True,False,True,
2026-05-19 16:55:09,SEND_DEST,6,True,True,True,6,0,0.0,V141 instant resume original goal after operator clear,0-1-0,uint32,uint32
2026-05-19 16:55:10,BRAKE_OFF,,True,False,True,
2026-05-19 16:55:13,SEND_DEST,6,True,True,True,6,0,-0.29907307028770447,V141 instant resume second pulse after operator clear,0-1-0,uint32,uint32
